Date,Organization,Region,Product_Category,Product_Name,Units_Sold,Revenue,Cost,Profit,Inventory_Level,Promotion,Holiday
2025-05-10,XYZ Stores,East,Grocery,Washing Machine,280,1084160,790412.32,293747.68,3494,No,No
2025-02-08,Prime Wholesale,North,Fashion,Table,353,894149,540555.53,353593.47,4167,Yes,Yes
2024-04-19,Future Bazaar,West,Grocery,Refrigerator,68,180744,106973.0,73771.0,1317,No,Yes
2024-10-08,Future Bazaar,North,Fashion,Sofa,30,89640,51051.37,38588.63,291,No,Yes
2025-06-16,Global Mart,North,Fashion,Smartphone,349,550722,403678.67,147043.33,3993,No,No
2024-07-19,XYZ Stores,South,Fashion,Smartphone,115,453445,274541.15,178903.85,4347,No,No
2025-03-26,Future Bazaar,North,Appliances,Air Conditioner,280,1302280,939117.33,363162.67,387,No,No
2023-08-05,Prime Wholesale,Central,Electronics,Mouse,261,125019,79111.99,45907.01,2618,No,No
2025-12-22,ABC Retail,East,Appliances,Table,148,72668,55860.05,16807.95,2328,No,No
2023-07-20,Prime Wholesale,East,Fashion,Keyboard,337,1676575,1088548.86,588026.14,2823,No,No
2024-09-04,XYZ Stores,East,Electronics,Dining Table,440,1227600,955361.92,272238.08,1534,Yes,No
2024-07-17,Prime Wholesale,East,Appliances,Rice 10kg,105,194985,115392.01,79592.99,1772,No,No
2024-11-12,Future Bazaar,West,Fashion,Refrigerator,54,91638,67814.06,23823.94,1413,No,No
2023-07-09,Future Bazaar,Central,Electronics,Office Chair,234,329004,223108.25,105895.75,759,No,No
2024-11-14,ABC Retail,West,Electronics,Sofa,161,337778,202831.4,134946.6,4709,Yes,No
2025-08-09,XYZ Stores,West,Appliances,Laptop,90,71820,52634.67,19185.33,3524,No,No
2024-12-30,Future Bazaar,East,Grocery,Laptop,169,309777,192872.3,116904.7,816,No,No
2023-07-17,ABC Retail,North,Fashion,Washing Machine,479,972370,772965.66,199404.34,3447,No,No
2025-02-02,Global Mart,West,Fashion,Mouse,452,663988,467200.49,196787.51,3026,No,No
2025-05-21,ABC Retail,South,Furniture,Office Chair,138,262476,171218.32,91257.68,312,No,No
2025-10-13,Future Bazaar,Central,Appliances,Washing Machine,69,148281,125872.2,22408.8,2106,Yes,No
2023-07-27,ABC Retail,West,Grocery,Laptop,140,643860,525470.84,118389.16,1495,No,No
2024-05-24,XYZ Stores,South,Furniture,Printer,482,95436,80366.57,15069.43,3284,No,No
2023-06-10,Future Bazaar,East,Electronics,Laptop,77,353661,229037.9,124623.1,2785,Yes,No
2025-11-11,Prime Wholesale,East,Grocery,Washing Machine,247,442871,372854.5,70016.5,275,No,No
2025-05-28,Global Mart,West,Grocery,Laptop,457,2124136,1314958.24,809177.76,66,No,No
2025-12-05,ABC Retail,Central,Appliances,Laptop,382,1018030,672966.3,345063.7,351,No,No
2025-09-19,ABC Retail,East,Furniture,Mouse,125,36250,23261.96,12988.04,619,No,Yes
2024-09-17,XYZ Stores,East,Furniture,Smartphone,297,1221858,1034933.47,186924.53,4107,No,No
2023-09-03,XYZ Stores,North,Appliances,Refrigerator,185,537610,363389.02,174220.98,3000,No,No
2023-11-17,Global Mart,West,Furniture,Smartphone,273,1254435,709045.0,545390.0,2824,No,No
2024-07-28,XYZ Stores,North,Fashion,Table,199,248352,199098.84,49253.16,4983,No,No
2024-09-04,Future Bazaar,Central,Fashion,Printer,490,1579760,997559.79,582200.21,926,Yes,No
2025-05-16,XYZ Stores,East,Electronics,Keyboard,320,1428480,1201153.21,227326.79,880,No,No
2025-01-10,ABC Retail,West,Appliances,Laptop,483,104328,59911.59,44416.41,1131,No,No
2024-07-13,ABC Retail,Central,Appliances,Printer,98,458934,381091.54,77842.46,2344,Yes,No
2025-09-23,Future Bazaar,Central,Electronics,Sofa,95,270180,176309.71,93870.29,3109,Yes,Yes
2024-04-18,Prime Wholesale,South,Furniture,Printer,441,2092986,1368585.33,724400.67,2899,Yes,Yes
2024-03-17,Prime Wholesale,West,Furniture,Laptop,105,306180,217942.98,88237.02,945,No,No
2024-11-20,Prime Wholesale,East,Grocery,T-Shirt,172,434644,255809.77,178834.23,3963,Yes,No
2023-01-12,Global Mart,South,Grocery,Monitor,104,361192,200630.07,160561.93,2946,No,No
2025-08-27,ABC Retail,West,Furniture,T-Shirt,99,313731,249209.25,64521.75,1566,No,Yes
2024-12-29,Prime Wholesale,North,Grocery,Laptop,286,831688,594150.89,237537.11,1172,No,No
2023-04-06,Prime Wholesale,North,Grocery,Mouse,161,681352,423514.13,257837.87,4002,No,No
2024-02-01,Global Mart,West,Electronics,Monitor,196,97020,81260.31,15759.69,1869,No,No
2025-04-30,Global Mart,West,Electronics,Rice 10kg,376,91368,62544.47,28823.53,2988,Yes,No
2024-07-22,XYZ Stores,South,Appliances,Office Chair,48,108288,89800.94,18487.06,782,No,No
2024-08-10,Prime Wholesale,Central,Furniture,Mouse,18,18954,13940.01,5013.99,3043,No,No
2023-01-29,Prime Wholesale,North,Fashion,Laptop,174,432564,313345.74,119218.26,560,No,No
2025-12-29,Future Bazaar,East,Furniture,Table,261,935946,650014.59,285931.41,3652,Yes,No
2024-10-14,Future Bazaar,West,Appliances,Dining Table,251,337093,243193.02,93899.98,1434,No,No
2023-12-14,ABC Retail,North,Electronics,Printer,199,120196,79625.18,40570.82,183,No,No
2023-06-22,Global Mart,West,Appliances,Rice 10kg,326,1393650,987136.7,406513.3,1300,No,Yes
2023-02-16,ABC Retail,Central,Grocery,Monitor,242,841192,638233.07,202958.93,1403,No,No
2025-08-29,XYZ Stores,West,Fashion,Table,417,319839,208118.6,111720.4,3769,No,No
2025-01-01,Global Mart,North,Electronics,Laptop,366,1550376,973612.81,576763.19,2558,No,No
2024-01-25,ABC Retail,South,Furniture,Keyboard,91,32305,23400.09,8904.91,847,No,Yes
2025-10-12,ABC Retail,East,Appliances,Table,298,1361562,1079944.68,281617.32,4208,No,No
2024-11-19,Global Mart,North,Appliances,Monitor,470,1927000,1330801.52,596198.48,4663,No,No
2025-02-09,XYZ Stores,East,Electronics,T-Shirt,446,1666256,1388707.27,277548.73,2098,No,No
2024-03-24,Future Bazaar,South,Furniture,Smartphone,378,1770174,1301854.06,468319.94,4583,No,No
2023-09-25,Global Mart,North,Electronics,Dining Table,458,539066,453026.82,86039.18,3424,No,No
2024-07-31,Future Bazaar,South,Furniture,Smartphone,84,388920,319282.05,69637.95,1408,No,No
2023-09-06,XYZ Stores,East,Electronics,T-Shirt,175,255150,170685.87,84464.13,4942,Yes,No
2025-02-23,Prime Wholesale,South,Appliances,Sofa,349,1092719,616029.49,476689.51,3868,No,No
2023-04-21,Future Bazaar,West,Electronics,Office Chair,258,914610,694463.62,220146.38,1937,No,No
2023-03-02,Prime Wholesale,South,Fashion,Table,131,422082,237320.07,184761.93,3950,Yes,No
2024-10-06,XYZ Stores,North,Furniture,Air Conditioner,242,150766,92253.73,58512.27,2346,No,No
2025-12-15,Prime Wholesale,North,Furniture,Rice 10kg,359,1544418,1276093.47,268324.53,2105,No,No
2024-12-19,XYZ Stores,West,Furniture,Air Conditioner,312,230256,190470.65,39785.35,4671,Yes,No
2025-10-23,Future Bazaar,Central,Furniture,Table,120,122160,85939.95,36220.05,1956,Yes,No
2024-04-29,ABC Retail,South,Fashion,Mouse,37,30081,21633.94,8447.06,3646,No,No
2023-03-08,Future Bazaar,South,Electronics,Refrigerator,242,545952,378822.24,167129.76,2522,No,No
2023-11-11,Prime Wholesale,Central,Fashion,Sofa,374,1463088,1214520.39,248567.61,3567,Yes,No
2025-04-02,Prime Wholesale,West,Furniture,Rice 10kg,146,723284,409010.33,314273.67,4220,No,No
2025-05-30,ABC Retail,South,Grocery,Keyboard,103,273053,209395.83,63657.17,1191,No,No
2024-06-15,Prime Wholesale,East,Fashion,Air Conditioner,122,579988,442048.89,137939.11,2076,No,No
2023-01-10,Prime Wholesale,South,Fashion,Laptop,270,478710,405461.66,73248.34,1392,No,No
2025-06-29,ABC Retail,Central,Fashion,Refrigerator,417,891546,702793.97,188752.03,2019,Yes,No
2024-08-10,Future Bazaar,Central,Grocery,Mouse,492,821640,680264.37,141375.63,1302,Yes,No
2024-12-25,XYZ Stores,West,Electronics,Air Conditioner,174,521652,391009.04,130642.96,1115,No,No
2024-09-07,ABC Retail,North,Electronics,Laptop,23,88826,65485.23,23340.77,1298,No,No
2025-03-31,Global Mart,East,Grocery,Keyboard,113,254363,187534.56,66828.44,2085,No,No
2023-06-06,Global Mart,North,Fashion,Printer,47,57340,43698.48,13641.52,1907,No,No
2025-05-14,Future Bazaar,Central,Fashion,Keyboard,127,375031,266626.19,108404.81,3278,No,No
2023-11-20,Global Mart,East,Fashion,Rice 10kg,341,1314896,1007224.75,307671.25,843,Yes,No
2023-01-11,XYZ Stores,East,Fashion,Table,263,793997,575661.75,218335.25,2238,Yes,No
2025-09-19,Future Bazaar,West,Fashion,Rice 10kg,120,208680,169372.45,39307.55,2985,Yes,No
2025-10-05,Global Mart,Central,Electronics,Printer,101,358449,204558.41,153890.59,1842,Yes,No
2024-02-24,Global Mart,Central,Electronics,T-Shirt,191,597830,493958.57,103871.43,251,No,Yes
2025-07-25,XYZ Stores,East,Furniture,Monitor,300,202200,136353.85,65846.15,3331,No,No
2024-10-01,Global Mart,North,Fashion,Printer,436,459544,315123.96,144420.04,3622,No,No
2023-03-04,Prime Wholesale,North,Electronics,Rice 10kg,159,447267,247753.87,199513.13,3482,Yes,No
2024-04-20,ABC Retail,Central,Grocery,Washing Machine,72,131328,79497.94,51830.06,1001,No,No
2023-10-12,Global Mart,South,Electronics,Sofa,314,1451936,963094.97,488841.03,3107,No,No
2023-04-24,ABC Retail,Central,Grocery,Table,231,241626,144147.32,97478.68,1531,No,No
2023-03-28,Prime Wholesale,North,Electronics,Monitor,64,123072,94124.44,28947.56,2540,No,No
2025-01-30,ABC Retail,West,Furniture,Office Chair,248,843200,508924.66,334275.34,2193,No,No
2025-03-24,Prime Wholesale,South,Furniture,Monitor,409,1900623,1583832.7,316790.3,2248,No,No
2025-07-03,XYZ Stores,North,Appliances,Rice 10kg,45,63360,42858.44,20501.56,3644,Yes,No
2024-04-15,Prime Wholesale,North,Furniture,T-Shirt,128,587648,469646.14,118001.86,3627,No,No
2024-12-14,ABC Retail,South,Grocery,Laptop,167,464093,392441.77,71651.23,2623,No,No
2024-05-08,XYZ Stores,Central,Grocery,Printer,13,7033,5768.27,1264.73,2225,Yes,No
2025-07-22,XYZ Stores,Central,Grocery,Mouse,43,205669,125854.29,79814.71,695,No,No
2025-03-31,XYZ Stores,Central,Fashion,Sofa,464,1416592,1167730.19,248861.81,2731,No,No
2025-03-29,Prime Wholesale,Central,Grocery,Keyboard,190,657970,514069.18,143900.82,2108,No,No
2025-03-17,Prime Wholesale,North,Furniture,Rice 10kg,241,325350,271599.59,53750.41,800,Yes,No
2025-08-15,XYZ Stores,Central,Electronics,Mouse,374,217294,160145.63,57148.37,2393,No,No
2025-07-27,Global Mart,South,Appliances,Refrigerator,113,476860,297522.78,179337.22,221,No,Yes
2024-06-07,Global Mart,North,Appliances,Laptop,284,493024,284708.85,208315.15,379,No,No
2023-01-12,Prime Wholesale,North,Appliances,Printer,327,1230501,999023.77,231477.23,759,No,No
2024-05-03,ABC Retail,South,Appliances,Printer,374,54604,30755.68,23848.32,4395,No,No
2023-05-17,Prime Wholesale,South,Fashion,Monitor,380,615980,416728.21,199251.79,3092,No,No
2025-09-21,XYZ Stores,West,Electronics,Rice 10kg,117,26910,20421.64,6488.36,970,No,No
2024-05-07,Global Mart,South,Furniture,Sofa,435,535485,331940.64,203544.36,4396,No,No
2025-11-28,Prime Wholesale,Central,Fashion,Mouse,311,1313664,1024863.49,288800.51,321,No,No
2023-09-23,Future Bazaar,Central,Electronics,Sofa,423,431460,280842.12,150617.88,3810,Yes,No
2023-11-20,ABC Retail,Central,Electronics,Dining Table,155,695640,391386.51,304253.49,1013,Yes,No
2023-03-02,Global Mart,Central,Furniture,Mouse,494,512772,372562.84,140209.16,4917,Yes,No
2025-06-03,Global Mart,South,Electronics,Table,252,923328,541164.04,382163.96,986,Yes,No
2023-02-23,Global Mart,West,Furniture,Laptop,56,46256,37704.92,8551.08,1646,Yes,No
2025-04-29,Prime Wholesale,Central,Electronics,Mouse,71,7242,5755.58,1486.42,4725,No,Yes
2025-08-09,ABC Retail,East,Electronics,Smartphone,332,923624,543880.13,379743.87,1405,Yes,No
2025-08-12,Global Mart,Central,Furniture,Smartphone,235,254505,159267.89,95237.11,4599,No,No
2025-03-06,Prime Wholesale,Central,Grocery,Table,462,2212056,1257454.53,954601.47,1641,No,No
2023-08-04,ABC Retail,East,Grocery,Mouse,156,387348,289556.4,97791.6,412,Yes,No
2023-12-22,Prime Wholesale,East,Appliances,Table,200,767600,595515.59,172084.41,2858,Yes,No
2024-11-02,XYZ Stores,West,Furniture,Sofa,372,1342176,1037572.48,304603.52,638,No,Yes
2025-12-05,XYZ Stores,West,Appliances,Office Chair,164,202704,145532.0,57172.0,1057,Yes,No
2024-08-08,Future Bazaar,West,Appliances,Air Conditioner,242,325974,261443.03,64530.97,327,No,No
2024-12-31,ABC Retail,South,Electronics,Printer,201,229140,179026.0,50114.0,4619,Yes,No
2024-12-04,Global Mart,East,Fashion,Air Conditioner,184,70656,48313.69,22342.31,2557,Yes,Yes
2025-05-28,XYZ Stores,South,Furniture,Sofa,88,360712,281760.16,78951.84,4883,No,No
2024-02-01,Prime Wholesale,Central,Grocery,Rice 10kg,498,68724,48663.96,20060.04,1873,Yes,No
2025-11-11,Future Bazaar,West,Appliances,T-Shirt,468,1814904,1515915.02,298988.98,4076,No,No
2024-07-23,Prime Wholesale,East,Electronics,Mouse,389,401837,248731.63,153105.37,841,No,No
2023-07-27,ABC Retail,North,Appliances,T-Shirt,36,61452,36734.39,24717.61,569,No,No
2023-07-18,Prime Wholesale,West,Furniture,Office Chair,396,1799424,1060532.75,738891.25,576,No,No
2024-06-04,Prime Wholesale,Central,Furniture,Keyboard,175,195300,116837.76,78462.24,633,No,No
2023-03-13,XYZ Stores,East,Appliances,Mouse,286,106678,80449.83,26228.17,2093,No,Yes
2023-08-02,ABC Retail,West,Fashion,Laptop,188,315088,196178.04,118909.96,763,No,No
2023-01-02,ABC Retail,Central,Fashion,Table,234,689832,562047.55,127784.45,967,No,No
2023-03-31,XYZ Stores,South,Fashion,Laptop,183,415227,328102.41,87124.59,1945,No,No
2023-01-09,ABC Retail,South,Fashion,Keyboard,271,879124,497224.96,381899.04,3961,No,No
2023-04-21,Future Bazaar,West,Furniture,Printer,260,657800,377599.86,280200.14,459,No,Yes
2025-05-23,ABC Retail,Central,Grocery,Table,23,51382,38284.12,13097.88,3688,No,No
2023-11-05,XYZ Stores,South,Grocery,Printer,192,467520,327010.94,140509.06,4694,No,No
2025-07-12,Prime Wholesale,North,Fashion,Laptop,211,180194,135878.61,44315.39,208,No,No
2025-03-15,Future Bazaar,West,Furniture,Laptop,13,37427,24750.91,12676.09,4753,No,Yes
2025-05-15,Future Bazaar,South,Grocery,Office Chair,237,645825,471011.2,174813.8,4331,No,No
2024-06-13,XYZ Stores,West,Furniture,Refrigerator,49,149842,93012.57,56829.43,575,No,No
2025-04-16,Future Bazaar,Central,Electronics,Rice 10kg,431,1358512,925349.93,433162.07,179,Yes,No
2023-01-28,ABC Retail,West,Fashion,Air Conditioner,75,101400,56044.7,45355.3,3424,Yes,No
2024-09-21,XYZ Stores,West,Electronics,Laptop,279,764181,539459.96,224721.04,2410,Yes,No
2024-11-17,Future Bazaar,West,Fashion,Washing Machine,494,1142128,896041.79,246086.21,1006,Yes,No
2025-08-26,ABC Retail,East,Appliances,T-Shirt,302,345186,195205.81,149980.19,1058,No,No
2023-10-03,Global Mart,South,Electronics,Smartphone,190,453910,381073.61,72836.39,3918,No,No
2024-05-09,Future Bazaar,Central,Fashion,Smartphone,436,1460164,953189.29,506974.71,2843,No,No
2023-05-09,XYZ Stores,North,Furniture,Washing Machine,273,1286376,1079274.67,207101.33,3535,No,No
2023-10-30,ABC Retail,West,Electronics,Laptop,241,976532,545994.78,430537.22,3174,No,No
2025-10-06,ABC Retail,North,Appliances,Mouse,201,135474,114225.21,21248.79,3878,No,No
2024-05-08,XYZ Stores,South,Appliances,Mouse,141,244917,166899.11,78017.89,900,No,No
2025-04-01,ABC Retail,West,Furniture,Monitor,464,799936,518769.99,281166.01,2240,No,No
2023-11-01,XYZ Stores,East,Grocery,Keyboard,233,854644,584000.33,270643.67,2939,No,No
2023-03-26,Future Bazaar,Central,Appliances,Table,291,862233,693364.85,168868.15,4810,No,No
2025-09-01,XYZ Stores,West,Grocery,Washing Machine,309,905370,605067.46,300302.54,1054,No,No
2023-12-02,ABC Retail,West,Grocery,Office Chair,312,1025856,840595.81,185260.19,3904,Yes,No
2025-02-25,Future Bazaar,East,Appliances,Dining Table,299,317837,199294.28,118542.72,155,No,No
2024-08-11,Global Mart,West,Furniture,Monitor,141,315417,185012.83,130404.17,3704,Yes,No
2024-03-20,ABC Retail,West,Appliances,Table,307,41445,28073.11,13371.89,2988,Yes,No
2024-12-26,XYZ Stores,South,Electronics,Air Conditioner,229,933404,735637.31,197766.69,2681,No,No
2025-05-08,Future Bazaar,West,Furniture,Mouse,302,1281990,986603.38,295386.62,195,No,No
2023-08-30,XYZ Stores,North,Appliances,Laptop,78,131352,101280.55,30071.45,711,Yes,No
2025-09-14,Prime Wholesale,Central,Electronics,Sofa,464,763744,473203.66,290540.34,819,Yes,No
2024-09-28,Future Bazaar,East,Fashion,Table,176,723008,547845.46,175162.54,1175,No,No
2025-10-02,Future Bazaar,East,Electronics,Keyboard,45,222255,165265.92,56989.08,1964,No,No
2024-07-14,Future Bazaar,East,Appliances,Keyboard,325,1239225,930510.24,308714.76,1785,No,No
2024-01-16,Future Bazaar,South,Electronics,Office Chair,67,29547,22185.25,7361.75,2451,No,No
2024-10-23,Prime Wholesale,North,Furniture,Sofa,309,1149171,963579.56,185591.44,682,No,Yes
2025-09-06,Future Bazaar,East,Appliances,Rice 10kg,12,21348,14191.25,7156.75,3993,No,No
2023-10-13,ABC Retail,Central,Fashion,Printer,158,653646,409910.68,243735.32,1573,No,Yes
2024-04-25,XYZ Stores,East,Electronics,Mouse,160,272160,180788.5,91371.5,2546,No,No
2023-11-07,Future Bazaar,Central,Fashion,Table,271,417882,328406.27,89475.73,4157,No,No
2024-08-16,XYZ Stores,East,Fashion,Sofa,438,843588,634623.78,208964.22,122,No,Yes
2025-05-08,Future Bazaar,South,Furniture,Mouse,139,427842,279735.9,148106.1,2035,Yes,No
2023-06-13,Prime Wholesale,West,Grocery,Office Chair,104,128232,105083.37,23148.63,2010,No,No
2024-04-26,ABC Retail,West,Appliances,Refrigerator,401,1228664,685279.45,543384.55,4273,No,No
2025-04-25,Prime Wholesale,East,Furniture,Refrigerator,29,90944,52902.07,38041.93,2760,Yes,Yes
2025-02-16,XYZ Stores,Central,Electronics,Monitor,354,1712298,1190698.6,521599.4,2180,Yes,Yes
2023-07-09,Future Bazaar,West,Electronics,T-Shirt,380,189620,107834.53,81785.47,1432,Yes,No
2024-02-24,Prime Wholesale,West,Appliances,Office Chair,133,614061,416225.91,197835.09,2189,No,No
2024-08-20,Global Mart,Central,Appliances,Table,142,668110,417284.19,250825.81,950,Yes,Yes
2023-08-30,Future Bazaar,North,Grocery,Laptop,222,551670,314112.63,237557.37,4845,No,No
2023-07-02,Future Bazaar,West,Furniture,Keyboard,126,334782,199200.18,135581.82,3854,No,No
2023-01-21,ABC Retail,North,Electronics,Laptop,51,129744,76541.63,53202.37,621,Yes,No
2023-08-30,Prime Wholesale,West,Grocery,Monitor,323,1354985,1111803.94,243181.06,2899,No,No
